Player,Team,Age,GP,G,Freq,FGM,FGA,FG%,eFG%,2FG Freq,2FGM,2FGA,2FG%,3FG Freq,3PM,3PA,3P%
Mike Miller,CLE,35,9,4,100%,0.3,0.6,60,90,0.00%,0,0,-,100%,0.3,0.6,60
Kostas Papanikolaou,HOU,24,8,3,100%,0.1,0.5,25,25,25.00%,0.1,0.1,100,75.00%,0,0.4,0
Dwight Powell,DAL,23,2,1,100%,0,0.5,0,0,100%,0,0.5,0,0.00%,0,0,-
Rasual Butler,WAS,36,2,1,100%,0,0.5,0,0,0.00%,0,0,-,100%,0,0.5,0
Tim Frazier,POR,24,2,1,100%,0,0.5,0,0,100%,0,0.5,0,0.00%,0,0,-
Justin Holiday,GSW,26,5,2,100%,0.2,0.4,50,75,50.00%,0,0.2,0,50.00%,0.2,0.2,100
JaMychal Green,MEM,25,5,1,100%,0,0.4,0,0,50.00%,0,0.2,0,50.00%,0,0.2,0
Elton Brand,ATL,36,3,1,100%,0,0.3,0,0,100%,0,0.3,0,0.00%,0,0,-
Jeff Ayres,SAS,28,3,1,100%,0,0.3,0,0,100%,0,0.3,0,0.00%,0,0,-
Joey Dorsey,HOU,31,6,2,100%,0,0.3,0,0,100%,0,0.3,0,0.00%,0,0,-
Dahntay Jones,LAC,34,11,2,100%,0.2,0.2,100,100,100%,0.2,0.2,100,0.00%,0,0,-
